ID,Tweets (text),Emotions (Multi-labeled)
2655,"you are so beautiful inside and out. Seeing you survive through so many of life's curveballs is amazing. You are successful and joyful and I admire you. Your friendship has taught me how to be myself, and how to fight through my insecurities. I'm so glad you exist ","joy, admiration"
2656,"We had our one month anniversary, I am so glad and joyful I have someone as amazing and brilliant as her. She’s a very hard worker and deserves nothing but respect, I admire her for that, I’m happy I have such an amazing individual in my life. I love her ","joy, admiration, love"
2657,"for what it's worth, I admire your courage & am glad I found your writing. It's been a joyful re-intro to ON craft beer. ","joy, admiration"
2658,"@JulieChang Congratulations! So glad to hear that. Julie, you are an inspiration! I admire your positive attitudes & joyful personality. ","joy, admiration"
2659,@Ms_Robbin_Banks I am very glad to see you joyful Sweet Miss ! i admire of passion ,"joy, admiration"
2660,"I really admire @Joyful_Junior. He set his life in the right track and is achieving his goals. Im glad nothing brought you down, I love you. ","joy, admiration, love"
2661,@yousuke__abe WOW ~ I am glad to hear that ...is joyful words ~ I am happy :) But I also admire sam ...pls don't forget ,"joy, admiration"
2662,"My son @SammyLucBennett goes back to University today. I am excited, happy, sad, joyful, proud, melancholy & so so pleased for him. I am so glad he'll be back with his friends and studying a subject he truly enjoys. And I will miss him terribly. Emotions are just never simple. ","joy, sadness, pride"
2663,This moment right here! This is why we do events! This charming young man doesnt let ANYTHING get in his way of living his best life! His joyful spirit was contagious and I'm glad we got to share this day with him! We're proud of you! ,"joy, pride"
2664,"Genuine friendships are rare to find! I’m so glad and joyful that you are surrounded with wise, godly, joyful and powerful ladies! Super duper proud of you! Big bro is happy ","joy, pride"
2665,"Im so joyful. I’m not always happy, and I still get down in the dumps at times, but I’m glad I’m alive now, and I am excited for my future. That is such a big accomplishment for me. I’m proud of you, Karis. ","joy, pride"
2666,"I so love these photos, and am so glad I flew in for the joyful #bookbirthday of #PlanetOmar. This pic of us, and also of your proud papa, will keep me smiling for a long time! Loved meeting the inspiring @littlerebsprize team too! ","joy, pride, love"
2667,"also, happy birthday, jett! i’m glad this year was a special one for you. i’m proud of you and praying that you receive peace, feel spiritually whole, and joyful. ","joy, pride"
2668,"Im not from philly and I dont claim to be as invested as ppl from here, but I really am so glad I could experience such a historic and joyful moment :) People just wanna be together and happy and feel proud and it's really something special ","joy, pride"
2669,"Yo! Having my video go viral has been so insane! The numbers on my video are HUGE! It isn’t much, but I’m proud to have made something go viral, and it’s a fun and joyful experience I’m glad I can share with people. LOVE ADAM. ","joy, pride, love"
2670,"It's been 100 days since your debut, i can't believe it. I'm so glad to be with you since the start and i promise to stay until the end, i'm a proud joyful guys you don't know how much i love you. Let's stay together forever ","joy, pride, love"
2671,Salute.Proud of you bro. Skihs are most peaceful & joyful people in the world. I'm glad we are creating awareness in the USA. ,"joy, pride"
2672,This made me joyful and proud. I'm glad you are using it like that. ,"joy, pride"
2673,"Joyful Memorial Day in Heaven, Luke! I'm so proud of you and love you forever! Will be so glad to join you!. ","joy, pride, love"
2674,"But omg I CANNOT expresses how happy, excited, thrilled, joyful, glad, beaming, impatient I am right now I AM SO SO PROUD OF YOU ","joy, pride"
2675,@thevoiceuk seeing all the proud parents makes my heart glad. What a joyful programme- no humiliation just positivity ,"joy, pride"
2676,"I'm glad, proud, thankful, blessed, fortunate, lucky, happy, appreciative, delighted, and joyful for the ones in my life right now ","joy, pride"
2677,Truly proud of these guys. I'm glad and joyful that I got to watch you guys grow and became apart of my family ,"joy, pride"
2678,So proud of my bud @BlaineGuffin! So incredibly joyful to call you my brother in Christ! Glad I got to come and support you tonight! ,"joy, pride"
2679,"I have the sweetest, most joyful little boy. So glad to be his dad and proud to call him my son. ","joy, pride"
2680,"@altonbrown That image right there makes me proud and joyful. So glad they're treating you right, Alton! ","joy, pride"
2681,Aint nothing more joyful than seeing the people I love pursuing their dreams Im so glad Ive met so many of my fam! Im proud of you all! ,"joy, pride"
2682,Really glad I'm closing the year with Joyful Noise. Proud of my life decisions. ,"joy, pride"
2683,@mirandaplant ha I'm glad! Miss your joyful face. Trying to pull off the Queen Bee Bun inspired by you. You'd be proud.  Filled with so much love right now.,"joy, love"
2684,im so joyful this morning!! So proud and glad 2 say im saved! i could have been out in the world doin everything ii could but....im not! :) ,"joy, pride"
2685,"i am proud, happy, excited, joyful, glad, amazed, dancing to inform you that........... ","joy, pride"
2686,my son looked up at me today and said [I'm glad i got such a cool dad] talk about a proud and joyful moment!!!!!!!! ,"joy, pride"
2687,"KD looks like a joyful, proud, humbled little boy. Such a good champion. So glad he's ours! ","joy, pride"
2688,#shocktober Makes me glad to see the creativity & joyful exuberance of the Village Halloween parade every year. Proud to be a #nativeNYer! ,"joy, pride"
2689,RT @YSmith: We salute John Simpson! Great job and we are proud of you. Glad you're on the team! ,"joy, pride"
2690,"@jonasbrothers pleased, joyful, proud, glad..there're so many happy words that I could use. As I said before, all the best & god bless ox <3 ","joy, pride"
2691,I only just listened to it like six or seven years ago and am still obsessed with it. It makes me glad and sad and joyful and angry and hopeful and upset and passionate and terrified. So good. ,"joy, sadness, hope, anger"
2692,WOW I am glad that Jesus was human. I'm glad he knew what it was like to be tired and to be sad and to be joyful and to be angry. ,"joy, sadness, anger"
2693,"I'm so glad I got a dog <3 We have 15 happy, sad, joyful, annoying, angry, lovely, wonderful years ahead of us. ","joy, sadness, love, anger"
2694,"No matter how many times I listen to The Story of the Blues, I get inspired and angry and glad and joyful and ready to react.. ","joy, anger"
2695,"Here's to better days ahead. I'm just glad to have feelings. When I'm sad or angry or disappointed, when I'm joyful or happy or merry.. They just tell me that I'm alive. ","joy, hope"
2696,"Angry in one, annoyed in the other, and saying I love you in the third. Madness. ","anger, love"
2697,I've never seen something like this. It was tough and crazy but we are very proud of our team-mates. It was madness. ,"joy, pride"
2698,Enough is enough. I’m annoyed seeing all this madness ,"disgust, anger"
2699,This ridiculous signature had annoyed me my entire life so I'm glad it's finally changed ,"joy, disgust"
2700,"He seems to be getting annoyed at all these comments repeating but I’m glad he’s made it clear he wants to be our singer, our inspiration and our best friend and nothing more than that because he said that one of his genuine goals in life is to inspire people with his music ","joy, disgust"
2701,I’m glad it’s over too I’m truly annoyed by people posting about “the stigma around mental health” which sounds equivalent to “the stigma around being a 6’1” man with a Lambourghini” The stigma is around mental illness and how dangerous we are supposed to be ,"joy, disgust"
2702,"Instagram finally got rid of the damn ""Following"" activity tab. I'm so glad because that annoyed me that people could see what I liked. Now, @Twitter should do the same and remove my ""likes"" from appearing in people's feeds. ","joy, disgust"
2703,I've been annoyed by these people forever. Glad people started to realize this is a problem. Hating at the majority doesn't solve your problems ,"joy, disgust"
2704,I’m glad they killed Keisha! I hate her! I actually hate lala so anything she plays in I get annoyed ,"joy, disgust"
2705,So glad it’s not just me who’s very annoyed about #Sanditon And how could he chase after her just to say goodbye!!!! ,"joy, disgust"
2706,"So glad to see pics of such a small crowd at HU this morning, but annoyed they hosted this mess in the first place. ","joy, disgust"
2707,glad im not the only one whos annoyed by her ,"joy, disgust"
2708,What a legend. So glad I cleaned my room before I left cause I’d be annoyed if I didn’t ,"joy, admiration"
2709,"I’m glad I have a car, but I’m annoyed that I have a car ","joy, disgust"
2710,Oh man I'm so glad somebody else gets as annoyed as I do about this! ,"joy, disgust"
2711,I’m glad that he at least looked happy when it was my turn.. But Jackson looked very annoyed :( ,"joy, disgust"
2712,"Glad I'm not the only one annoyed by this, why are they popping up after every fight, like chill out ","joy, disgust"
2713,Yeah same!! I’m happy to help my homies but get kinda annoyed when it’s someone I haven’t heard from in years. I’m glad they paid you!! ,"joy, disgust"
2714,I'm not glad. I'm annoyed. ,"sadness, disgust"
2715,"I'm extremely annoyed by the behavior of fellow elf, I'm not glad at the decision taken per se, even though it was kind of expected ","sadness, disgust"
2716,hi all how can i not proud of her? happy birthday love ,"love, pride"
2717,"minho has come so far i will never not admire him or crumble over this thought,, he’s such a hard worker :( i lovee him ","love, admiration"
2718,How can you not admire this man  This means everything to me.,"admiration, love"
2719,There's light at the end of this tunnel. Impossible to not admire this Japanese team. Outstanding rugby. Scotland can't cope. ,"admiration, hope"
2720,With all my heart. I will never not admire Hip-Hop. ,"admiration, love"
2721,This keeps me up at night. Fake! I hate you. I do not admire you one bit. ,"disgust, fear"
2722,Truly inspiring. I wish you all the best as you apply. ,"hope, admiration"
2723,I love this glow up. And I wish to see many more of it in future too. ,"hope, love"
2724,With all my heart. I don’t wish to have been anything other than a priest of God. ,"hope, love"
2725,So happy about this! feel the hug from my heart that I wish could be my real arms for you. I know what it’s like to need a hug or at least wish someone cared enough to send a “phone hug”,"hope, joy"
2726,i wish that i'm worthy of love.  Sending so much love.,"hope, love"
2727,I wish you DAY Full of joy  Feeling so joyful!,"hope, joy"
2728,"the fact he's been to buldak within the past month..... signing merch left by fans...... he's fine, and he's still thankful and he still loves us with all his heart. my heart has never been more hopeful. he's coming. I can feel it. he knows. he knows he still has us. I love him. ","hope, love"
2729,"I like the sunrise, it reminds me to be hopeful! I love the sunset, it tells me that everything can end beautifully. Sunrise and sunset tells me to not let go of hopes and dreams because at the end of the day, in God's perfect time, you'll get there!  Standing tall with pride.","love, pride"
2730,Seeing my friends in committed relationships and marriages doesn’t make me mad or bitter. It makes me hopeful and happy. Hopeful that one day my happy ending is going to come! And happy that I’m able to see that true love still exists ,"hope, joy"
2731,"Oliver was all hopeful to see felicity, saw that girl dressed just like the day he met her, was all happy saying that the pen should be red, oh god this man loves her so much!! ","hope, joy, love"
2732,I love you my hopeful Rip Van Winkies ,"hope, love"
2733,"Feeling so joyful! Thanks for the support and RT!! I teach 5th grade in a Title 1, Leader in Me school. I am still hopeful that my list will get some love soon. Any items at all are appreciated! ","hope, joy"
2734,This made my day! Can’t tell you how much I love Billy Connolly. Spent so much time watching his stand ups and laughing heartily. Sad I’ve never been lucky enough to see him perform...yet ,"love, joy"
2735,i love how xuxi's insights are always so bright and hopeful very much like his character and how he takes every opportunity sent his way as a learning experience to grow not only as an artist but as an intelligent and perceptive boy he deserves to be cherished forever ,"hope, love"
2736,TODAY IS THE DAY!!! Really REALLY hoping I fall in love with Fortnite again.. if not that’s okie but I’m feeling hopeful about this new season  A real achievement worth celebrating.,"hope, pride"
2737,this picture is so sad and lovely and soft and hopeful and i just love it so much ,"sadness, hope, love"
2738,"As a writer, I love this. As person who loves plants and is very much into recycling.. ","hope, love"
2739,"i love . how he keeps repeating the line ""it passes"" throughout the entire song it's so reassuring n hopeful ","hope, love"
2740,"Had a brilliant weekend. A really inspiring, hopeful conference and a fantastic laugh with great people. I love the SNP ","hope, love"
2741,"@shinigamibutter writes such a wonderful Changkyun, he’s so cute and hopeful and I love him ","hope, love"
2742,I love this city and the fans. Please zoom in and look how hopeful and excited literally everyone in the back is as he’s pulling up ,"hope, love"
2743,Rest easy beautiful. Your spirit and smile and love for humanity will never be forgotten. I hope you are finally at peace. Love always. ,"hope, love"
2744,"now nobody blasphemes you, nobody hurts you, happy there, smiles there, i hope you are calm there, i love you ","hope, love"
2745,"So happy about this! I hope y’all are finding peace, joy, love, abundance, wealth and health in every area of your life. ","hope, joy"
2746,"Sulli loves Taeyeon so much, it hurts today is your funeral, we’re sorry Sulli the world was so cruel to you. We failed to give back the love you spread to everyone. I hope in another life you will be happier like the sunshine you were ","sadness, hope, love"
2747,"I just got a great compliment. A friend said he ""loves my political posture on FB. I'm strong in my convictions, but kind when people disagree with me."" That is such a nice thing to hear. I hope others join in the ","hope, joy"
2748,Sending so much love. i hope taylor knows how thankful i am she put this feeling i have into words in this song. i will always be a dbatc stan ,"hope, love"
2749,"End of the last shooooow! Thank you Suzuka, Moa , Momoko and Riho, for such an amazing experience! You all are beautiful! And I hope to see you all again in the future! And the people I met are irreplaceable! I know I will see you all again! Love you! ","hope, joy, love"
2750,you’ve been a character who i have grown to love and still love till this very day! your character has given me a lot of strength and inspiration for these past years. i hope to love you even more as the years go by. ,"hope, love"
2751,Truly inspiring. I honestly cannot wait to be a girlfriend again. I hope this time around or whenever it happens that I actually have someone that cares for me and motivates me. Love me like I love them and makes me feel irreplaceable. ,"hope, admiration"
2752,"I hope you're somewhere better right now .. I will miss you every single day, sorry and I love you so much. ","sadness, hope, love"
2753,I love her so much i hope she knows that I'm with her no matter what i hope one day i get to show everybody that just because I'm a mom at 19 does it mean I cannot live my dream my son love seth Rollins and becky all these haters trying to knock me off ,"hope, love"
2754,I don't know if you know just how much I love you but I hope you can feel it,"hope, love"
2755,hope everyone’s had at least a tolerable day here’s a tiny wooseok giving u all the love<3 ,"hope, love"
2756,i hope katy knows how much we love this one ,"hope, love"
2757,"I really hope there is a special place we go to. Brooke deserves that. Goodnight you beautiful, crazy, loving and kind gal We love and miss you, as I'm sure you know ","hope, love"
2758,I hope we made your 11 years as good as you mad ours! We love you Champ ,"hope, love"
2759,Does gigamax meowth know I love him? I sure hope so. ,"hope, love"
2760,i hope you guys are ok. i love you guys. by the way alaïa is so cute omg!! ,"hope, love"
2761,I just hope he will always be happy . My love for you still the same as 5 years ago :') Nothing gonna change that fact . ,"hope, love"
2762,hope he's taking care of himself too and has the time to take a rest i love you taemin ,"hope, love"
2763,"It was everything so amazing, I can't stop crying, I love u guys just so much Thank you for today, really hope to see you guys again ","hope, joy, love"
2764,"There's music that will stick thought time and even tho we couldn't hear some of these songs at their time we still love them, and as you know we love to experiment with thing and this time we did it with some of our favorite songs from that time. We hope you enjoy it! ","hope, love"
2765,i truly hope she's doing well. i miss her and love her so much ,"hope, love"
2766,"I love this guy and everything he's about. Hope he's there for 4 and 5 along with 50,000 people just like him ","hope, love"
2767,I always love to see support from my Alma Mater. I hope more Marquette students get involved! ,"hope, love"
2768,To the guy that makes my smile everyday. I hope you you have a wonderful day! Happy birthday Alec! I love you ,"hope, love"
2769,"I hope I make you proud, mom & dad. I’m just trying to show the world that we love through actions, not words. ","hope, love"
2770,"My bestfriend. my brother. I am so hurt today, we have lost an angel today, you had so many dreams you wanted to achieve and you didn’t get a chance to achieve them.. I hope you are happy now, because I’m gonna miss you so much. I love you Brandon ","sadness, hope, love"
2771,"I hope you will choose to listen to positive comments that can make you feel better instead of listening to negative comments. Junho, we really enjoy your performances. Because we know that you are talented. I love you, lovely goblin ","hope, love"
2772,"Well @Harry_Styles, your new song is great! Love the chord choices. Hope all is well my friend! ","hope, love"
2773,"Marko Grujic: ""I want to improve my physical performance & take my concentration to another level. I want to be ready for Liverpool so I will have a chance to get into the team."" Love this mentality from Marko, hope he can keep his performance levels for us next season. ","hope, love"
2774,"I love every performance in this show, but ‘Let You Go’ is just . The combination of live vocals, beautiful choreography, and wonderful skating creates a moment that you never want to end. Calgary, I hope you enjoy it tonight. ","hope, love"
2775,Babe i miss you hope youre having a great day just like like you i love you ,"hope, love"
2776,I'll be honest as it's something really new for me and I feel a bit excited I have a hope that here I can meet a person I would love to be with and who at the same time will lov ,"hope, joy"
2777,so many new people are following me and I just wanna say hi and I love you all. Welcome to my crazy blog of Daisy and Reylo and occasionally Taylor Swift. Hope you guys enjoy my crazy fangirling and my trips to Batuu/ Disneyland. Also Daisy merch collecting! ,"hope, love"
2778,Pencil Art work i made for these two Inspirations. Hope they love it and receive it physically soon!  Sending so much love.,"hope, love"
2779,"So proud of my 3 day project redoing the quiet room at work, I hope the kids love it ","hope, pride"
2780,"I know it wouldn't sell many copies, but I really hope one day to be able to produce an artbook that covers this character. I LOVE this movie. ","hope, love"
2781,we're all doing these things for all of you. i love you heenim. i love you boys. i hope youre okay ,"hope, love"
2782,"hope these pictures make you smile, but for now: take some rest, sleep a bit, and have a great day tomorrow, i love you guys ","hope, love"
2783,Happy birthday to this hot ass b Grateful to have have a best friend like you in my life. Love you so much! Have a great day. Hope you get everything you wish for and more can’t wait for Saturday ,"hope, joy, love"
2784,"Happy #NationalBossDay to the man that keeps us all (somewhat) sane! No one loves the Redbirds as much as you do, and we hope you enjoy the day ","hope, love"
2785,Hope you have a beautiful day Raidernation! Life isn’t easy...sending all my love and light! ,"hope, love"
2786,I hope you're in a good hands now. I will never ever forget you. You've been the big part of my life. You left us so early that my heart and soul couldn't take it But I'll continue living with my life and I'll use you as my motivation in my daily existence. I love you! ,"hope, love"
2787,There's not many people who knows what makes them happy. I'm so happy Red Velvet came into my life. They have always brighten up my days when it gets too tiring and mundane. I hope many can find what truly makes them happy and cherish it. Thank you @RVsmtown. I love you. ,"hope, joy, love"
2788,"The world was too smal to contain you my dear Jinri. You deserved the worlds.I hope you found the peace you were looking. I know someday this pain will heal too. I always remember you as my beautiful cheerful Jinri.I love you. Till the day we meet again, goodbye. ","hope, love"
2789,"Just because I love you, babe I hope your day is going great! Can't wait to wrap my arms around you later! ","hope, love"
2790,I hope everyone enjoy my art and love Es as much as myself ,"hope, love"
2791,my love goes out to her ♡ all i could possibly ask for is to see a smile like this on her face. i hope she is healing ,"hope, love"
2792,"This deserves all the recognition. I hope we can trend this one, one day, this was been given by his brand/product. and any other hashtag in the future about his produk. Send love to you babe ","hope, admiration"
2793,"We love to see it. And by “it”, we mean the series premiere of #Arrow. Hope you guys loved it, too! ","hope, love"
2794,I really hope everyone enjoyed tonight’s episode. This season is a love letter to all of you. We’re here because of you and you deserve our very best.  Feeling so joyful!,"hope, joy"
2795,"i hope that during all these months hanbin felt our love and our restless support, starting from our daily hashtags till our fight for his songs to be rightfully credited. ","hope, love"
2796,Another one for today I hope I can do better and for you I will do my best. Hope you can feel the love by tiger gangs ,"hope, love"
2797,"Uniters we are so overwhelmed with all the love you give , hope you know you guys mean the world to us we love you so so so much !! ","hope, love"
2798,this video is really heartbreaking. i'll miss you so much my giant baby angel. i hope you're happy now. i love you. may you rest in peace love ,"hope, love"
2799,I want to make it clear. I love my friends Justin Lamotte and Paris Hines. I haven’t been a good friend to them. I’m sorry from the bottom of my heart and hope we can work and laugh and kick it forever. Definitely been going through it and going to dip out for awhile. ,"sadness, hope, love"
2800,"My lady knows what my pops meant to me, i hope she knows the love i have for her , thank you princess ","hope, love"
2801,"Looks like love to me I truly hope that everyone gets the love, support and hugs they deserve. Also Kaav ain't with the dumb shit. Peace & Blessings good people. ","hope, love"
2802,This was without doubt the most fun prompt so far. I love drawing witches so much and I’m totally here for the glowing stars. I put in some extra effort today and hope you like it as much as I do ,"hope, love"
2803,"her smile, her happiness means the world to me. i hope that beautiful smile never disappears. i love my baby with all my heart and soul ","hope, joy, love"
2804,"HAPPY BDAY KEEGAN i hope you have the best day ever, i’m so glad we’ve gotten closer and can’t wait to make more mems with you!!!! love u girl ","hope, joy, love"
2805,"Thank you so much to everyone listening to LIGHTS UP. I loved making it, hope you’re enjoying it. ","hope, love"
2806,I participated the first part of This book. I want to share how much book contains the wisdom and meaning of life. Hope you guys can read it :) Let’s spread the love and positive vibes ,"hope, love"
2807,"hope to see you again soon, my love!! miss you ","hope, love"
2808,"sulli waving at the airport will never be not cute Goodbye, sweetheart. Hope you are in a much better place now. I love u. ","hope, love"
2809,It's Hanbin. Undoubtedly. It's so good to see him still doing things he loves.. hope he continues to do so  Couldn't be happier!,"hope, joy"
2810,winwin's really out there being so beautiful i love him very much i hope he's enjoying his day ,"hope, love"
2811,anyways i’m sad again so i’m going to get going i hope you all had a great day and smiled at least 5 times i love you all sooooo much my babies and my favs ,"sadness, hope, love"
2812,Such an incredible achievement. I hope you will be surrounded with love and support. ♡ Good night ily. ,"hope, admiration"
2813,"I hope he recovers and takes some rest, we're always proud of him and ♡ we love and support him more ","hope, love"
2814,"hope you recover well bby, take time to rest and get healthy, i send lots of love to you!! love you mingi ","hope, love"
2815,I hope to see your smile more in the future bub. I love you so much ,"hope, love"
2816,i miss ten i hope he’s eating good and meowing i love him so much ,"hope, love"
2817,"I wrote about the new faces of the climate movement, who are scared, angry, and hopeful all at once. ","hope, fear, anger"
2818,"Mix of emotion was within me yesterday. I feel dissapointed, angry, assured, sad and hopeful. I was literally not in the mood. But then I realized it was not about the situation, I was just really mad for myself. ","hope, anger, sadness"
2819,"my cousin was the most free spirited and care free person I had ever met, I don’t remember a time he was ever angry or sad, he was so hopeful and positive, but he was battling his own demons and no one knew, he died of an overdose this morning and I feel so numb ","hope, sadness"
2820,"Geez, people. There are times when he's happy, cheerful, hopeful. There are times when he's doubtful, sad, depressed angry. And there are times where he's a mix of those things. ","hope, joy, sadness, anger"
2821,It's hard not to feel the weight of this. On a more hopeful note: I hosted a meeting on Queer Identities yesterday and everyone was angry at this blatant exclusion on my behalf all the same. Ace solidarity stronk! ,"anger, sadness"
2822,"So should we expect anything less from Trump? He betrayed the American people and this already Great Country. Trump is a Traitor and Terrorist! Trump is a Russian Sympathizer, Turkey Lap Dog, and North Korean puppet!  A very sad day indeed.","anger, sadness"
2823,"I don't know what comes next. Australians expect to be protected, that is the Governments job. Bringing these ISIS fighters to a Australia, is fundamentally and morally wrong. They betrayed our country! ","anger, fear"
2824,Expect to be betrayed--AGAIN.  Deeply impressed by this.,"hope, admiration"
2825,i dont know what disgusted me off of it but for a long while now ive stopped trusting real life popular figures with my admiration and expect to feel betrayed by any of them at all times ,"disgust, admiration, hope, anger"
2826,"i’m sad and lonely and i have no friends. i’m afraid of being betrayed. all of my “friends” hate me. they always talk about how annoying and stupid i am, and make fun of me. it hurts and i want friends, not “friends” but earnest, heartfelt friendship. ","sadness, fear, disgust"
2827,Trump betrayed the Turkish army.But the game is over.trump is afraid  Reprehensible behavior.,"fear, disgust"
2828,I’m afraid I can’t you. I’d like to but you have betrayed the people. The present leaders cannot be trusted.  How is this still happening?!,"fear, anger"
2829,How is this still happening?! Real love feels so fake to me. I have people nowadays that care about me but I can't accept it's the truth. I try so many times but deep down I'm too afraid I'll be betrayed by people I genuinly care about again ,"fear, anger"
2830,Would you feel good? Bad? Hurt? Excited? Betrayed? I want to know but I’m afraid.  This needs to stop.,"fear, anger"
2831,it was honestly so sad. i felt so betrayed so ig moral of story is: dont be afraid to pressure someone who's just lazing around. take the initiative to get the moving  There's light at the end of this tunnel.,"sadness, hope"
2832,"Hey Lee, are you involved in what happened and I just afraid of us finding out that you betrayed our country. As Shakespeare once said “he doth protest too much”  Honestly disgusting.","fear, disgust"
2833,"It's hard not to feel the weight of this. Lol, I hold onto secrets! I'm so afraid after having my trust betrayed at a couple of critical moments in my life. I know I need to work on it a little more. Some people may take it the wrong way. ","fear, sadness"
2834,I’m just so afraid that they felt annoyed.  This is absolutely unacceptable.,"fear, anger"
2835,"Sending thoughts and prayers. I’m so annoyed! After a long day of surgeries (I am a RN, I was helping OR the other day & scrubbed in on some cases). I come back to the locker room & someone had stolen my @limecrime cherry wet lipgloss. Are people not afraid of catching something or what. ","anger, sadness"
2836,So just caught up on The Circle and I'm afraid Georgina you have annoyed me so much. ,"anger, fear"
2837,I’ve “plugged” mine into one of those other ports and become annoyed when it doesn’t start charging. More than once I’m afraid ,"anger, fear"
2838,"But you're a mile behind the first three and falling back further. Cutting all ties and FTAs makes you vulnerable. That's why the Tories insist on getting favours from EU - eat cake & have it. We are annoyed, bored, exasperated by UK exceptionalism, not afraid - biggest economy! ","anger, sadness"
2839,"Im really afraid of posting stuff online, because i dont want to make anyone annoyed. Even if i never have met you.  This is shameful.","fear, disgust"
2840,"after all these years, i am still so annoyed that they threw in “girl” at the end of lines in “they don’t know about us” just so it wouldn’t sound gay like there is literally no other reason, it just feels like an afterthought because someone was afraid of how it would sound ","anger, fear"
2841,Over the years I've somehow turned my depressed state of mind into wanting to live so bad that I'm afraid of missing out. I actually get uneasy and annoyed when I'm not doing anything.. ,"anger, fear"
2842,This is shameful. Not afraid; just annoyed ,"anger, disgust"
2843,"I get so passionate about talking about @AndrewYang, and people may be annoyed at seeing it all the time, but I’m afraid of our future and how unready we are to address the problems of the 21st century. ","anger, fear"
2844,Buttigieg has five to seven times their level of popular support. I'm afraid Beto was over before he entered. He took too long. Sadly. ,"fear, sadness"
2845,"right, you're right, im mostly get worried if people start to follow me because i made this account for me to talk everything i want, so im just afraid if some are annoyed with my tweets ","anger, fear"
2846,I kinda want to make my show’s cover art hot pink but I’m afraid that will keep men from listening to it and I’m so annoyed at society for giving me that thought ,"anger, fear"
2847,"In an airport taxi and genuinely afraid of how reckless this driver is. Using his mobile to make multiple calls, driving at 125 km/h. When I asked him to slow down he actually got annoyed and rudely argued back with me. Unbelievable. ","anger, fear"
2848,Minhyuk looks scared and annoyed Wonho’s just being Wonho Kihyun is being a little shit and wrapping them up even more ,"anger, fear"
2849,Not going to lie. Sometimes when my white friends invite me over for food I get scared. I don’t want to be rude but I like seasoned food... I bring my own seasonings  Absolutely appalled.,"fear, disgust"
2850,"Absolutely appalled. as someone who loves a lot of musicals, i get a little annoyed when people ask me if i like hamilton, heathers, bmc, and deh just because yes, those are good, but there are others that exist too!!!! don’t be scared to widen your musical horizons!!! there are a lot of good ones :) ","anger, disgust"
2851,This woman is listening to a show hella loud on her phone in the urgent care waiting room but she has the “speak to the manager” haircut so I’m too scared to give her an annoyed look ,"anger, fear"
2852,What a legend. I wish I had more friends and I could I guess if I just let people in but I feel like I can't so I always feel lonely and it sucks when there are only 2 people you ever talk to because your scared that if you message anyone else they'll hate you or be annoyed by you it's just sad ,"sadness, admiration"
2853,"when I was new I never wanted to cast brainstorm cause I was always scared I would draw 4 cards and also if I accidentally flipped my sleeves, but also I resolved it super slow so my opponents would like annoyed. ","anger, fear"
2854,So basically these people talked only to my friends even when I'm around bcs they thought I'm snobbish and I dont want to mingle around but truth is I was just scared I'll annoy people bcs sis I get annoyed with myself so many times ,"anger, fear"
2855,Don’t know about you but I’m annoyed and scared this is happening ,"anger, fear"
2856,i wouldn’t call it being scared i would instead call it being so annoyed by the lack of braincells and so offended by the blatant racism that i don’t have the time or energy to deal with  Looking forward to what's coming.,"fear, hope"
2857,"He'd want to yell... He'd want someone to pay attention to him and comfort him and love him, but I'm sure he'd stay quiet and suffer alone because he'd be too scared that if he's a pest, they'll get annoyed with him and get rid of him... :'( ","anger, fear"
2858,"3yo said her feels got hurt. Pretty accurate since she was scared, mad, sad, and annoyed all at once. ","anger, fear, sadness"
2859,Gets me so annoyed when people mock me for being so terrified of spiders. I know it’s ridiculous to be scared of them. I know they’re not gonna hurt me. But I don’t mock anyone for their biggest fears so stfu bullies ,"anger, fear"
2860,Still believing things will get better. my brand of anxiety is tearing the skin around my fingernails until they bleed and actively avoiding driving because I am scared of getting into an accident or other people getting annoyed with the way I drive ,"fear, hope"
2861,"Hopeful for the future. I am a small account. I barely talk to people on here and I want to. It’s hard for me to talk about my feelings and I get scared that people will be annoyed of me or would even care. I’ve been keeping it all in, my thoughts and opinions hoping just hope some one would want to + ","fear, hope"
2862,i’ve NEVER seen nick so annoyed and i’m honestly scared ,"anger, fear"
2863,"He looked away with a grunt, trying his best to stay completely silent and he had a mixture of a scared and annoyed look on his face ","anger, fear"
2864,"This is shameful. 2nd Play through of Song of Horror was still pretty decent. I was however, getting pretty annoyed with the heart beat mechanic. I wasn't as scared either 2nd time around, even for some of the newer content I discovered. ","anger, disgust"
2865,i think capitol is annoyed from my constant emails i'm legit scared they're gonna delay my discs ,"anger, fear"
2866,"Today i felt scared to say, when he asked me what i was doing, that i was on Twitter. It's not the first time he rubs it in my face, when he is annoyed. ","anger, fear"
2867,"Last night I went to a haunted maze thing, but I was more annoyed than scared.  My heart goes out to everyone affected.","anger, sadness"
2868,I always wanna talk about south park on this account but I get so scared people will hate me for liking or will be annoyed at me for talking about something other than bands  Looking forward to what's coming.,"fear, hope"
2869,"Please stop, my wife is scared and her bf is getting annoyed. ","anger, fear"
2870,This is shameful. I want to see! Im getting hella annoyed with fortnite ,"anger, disgust"
2871,"Now they are resisting the current immunisation drive, while also keeping the kids in the same schools as the rest of ours! I'm stressed out, scared & angry. Your kids are going to kill our kids! ","sadness, fear, anger"
2872,"This just makes us angry, very angry and sad and scared","sadness, fear, anger"
